,Date,Company,Market,StatCaseVolume,StatCaseBaseVolume,StatCaseInc'lVolume,DollarSales,BaseDollars,IncrementalDollars,ACVWtdDist,AvgItemsperStore,AvgPrice/Vol,AvgWklyVolumeSalesper$MMACV,WklyTtlDistPoints,"WtdAvg%PrcRed,AnyMerch","WtdAvg%PrcRed,Feature&/orDisplay","WtdAvg%PrcRed,PrcRedOnly",WtdBasePriceperVolume,"%BaseVolume,AnyMerch","%BaseVolume,Feature&/orDisplay","%BaseVolume,PrcRedOnly",MarkdownDollars
14,Week15,Company1,Region1,85,0,41,61,34,19,28,54,40,64,53,5,82,69,92,70,58,98,96
15,Week16,Company1,Region1,94,24,97,16,41,80,57,1,29,96,10,81,47,17,65,17,97,59,65
16,Week17,Company1,Region1,14,73,86,33,66,6,3,54,92,70,52,20,91,89,62,94,60,84,17
17,Week18,Company1,Region1,33,91,77,71,42,29,56,42,86,10,21,41,73,8,88,21,5,9,7
18,Week19,Company1,Region1,17,17,41,13,23,35,71,17,92,59,7,52,78,95,10,4,86,23,69
19,Week20,Company1,Region1,10,70,15,61,99,72,59,0,8,93,6,11,68,56,48,69,63,73,28
20,Week21,Company1,Region1,13,45,60,92,100,38,97,48,79,49,10,5,80,7,50,0,18,72,73
21,Week22,Company1,Region1,1,64,25,61,89,96,84,16,66,11,97,0,94,7,16,37,29,35,49
22,Week23,Company1,Region1,15,100,94,72,20,83,87,40,65,17,84,35,19,48,15,46,95,9,14
23,Week24,Company1,Region1,68,14,25,75,39,98,16,76,47,28,63,24,43,26,0,21,33,38,27
24,Week25,Company1,Region1,90,15,41,61,31,49,97,26,52,9,81,66,95,43,44,90,67,78,87
25,Week26,Company1,Region1,18,70,88,72,43,81,67,20,19,51,92,98,82,48,20,76,49,55,10
26,Week27,Company1,Region1,10,38,88,99,7,90,54,11,86,76,32,35,66,67,27,87,85,45,54
27,Week28,Company1,Region1,80,24,78,35,76,67,5,43,46,92,57,99,55,20,26,66,49,45,32
28,Week29,Company1,Region1,49,14,54,20,35,29,19,95,68,9,34,73,33,11,84,49,21,86,91
29,Week30,Company1,Region1,33,82,1,58,58,37,67,26,89,26,68,62,21,34,9,41,46,42,38
30,Week31,Company1,Region1,88,19,61,85,69,12,27,52,50,39,56,39,100,6,63,13,55,100,49
31,Week32,Company1,Region1,55,55,77,59,22,70,98,26,80,47,84,92,35,62,59,72,83,27,6
32,Week33,Company1,Region1,39,43,26,63,10,90,75,0,9,77,99,65,30,15,98,90,0,85,3
33,Week34,Company1,Region1,15,62,97,91,2,77,18,41,15,30,26,47,96,67,79,71,53,66,22
34,Week35,Company1,Region1,84,39,55,27,27,76,52,70,29,99,86,69,38,25,18,77,57,93,51
35,Week36,Company1,Region1,38,17,69,53,99,81,4,6,91,77,68,12,31,28,91,5,100,99,39
36,Week37,Company1,Region1,22,22,77,15,16,5,76,50,6,93,74,1,70,49,80,28,3,39,46
37,Week38,Company1,Region1,65,0,23,81,16,94,69,100,63,72,87,51,7,26,28,4,83,19,3
38,Week39,Company1,Region1,5,5,89,16,92,38,43,71,69,70,96,43,67,45,40,1,23,40,93
39,Week40,Company1,Region1,72,93,59,51,56,30,48,73,63,22,22,15,68,41,65,25,27,48,92
40,Week41,Company1,Region1,39,36,57,80,37,96,17,62,47,73,92,75,94,95,21,40,52,99,47
41,Week42,Company1,Region1,63,10,75,64,22,83,18,21,56,69,4,61,18,53,42,52,97,3,55
42,Week43,Company1,Region1,6,94,0,81,1,11,96,79,76,61,30,67,33,51,74,37,33,23,9
43,Week44,Company1,Region1,36,34,89,62,4,72,7,39,7,82,63,57,46,47,55,57,69,69,9
44,Week45,Company1,Region1,22,88,59,32,54,21,61,38,1,17,19,5,96,62,6,99,49,25,46
45,Week46,Company1,Region1,46,70,57,20,44,25,13,90,2,65,14,93,70,91,63,63,68,38,4
46,Week47,Company1,Region1,14,21,84,61,78,60,91,81,48,63,45,23,28,30,37,93,4,83,28
47,Week48,Company1,Region1,67,7,69,17,80,38,59,68,33,84,40,100,52,39,27,29,93,11,23
48,Week49,Company1,Region1,26,56,78,62,96,68,12,43,92,60,44,64,81,30,37,5,77,99,51
49,Week50,Company1,Region1,7,53,74,47,64,94,53,67,19,23,15,78,62,58,39,56,44,92,44
50,Week51,Company1,Region1,47,27,32,58,44,61,11,62,24,92,76,28,34,12,27,30,76,23,2
51,Week52,Company1,Region1,45,55,24,2,94,89,53,40,45,63,100,84,61,62,39,90,63,84,12
52,Week53,Company1,Region1,75,96,79,19,78,37,61,71,64,6,91,67,33,1,17,7,41,97,88
53,Week54,Company1,Region1,70,67,73,24,91,31,12,70,58,26,73,6,55,32,89,26,45,82,15
54,Week55,Company1,Region1,26,85,68,38,50,68,71,91,1,81,68,77,95,37,96,16,41,90,1
55,Week56,Company1,Region1,26,88,73,66,51,74,36,34,13,4,45,62,51,58,50,82,37,14,48
56,Week57,Company1,Region1,19,28,8,15,61,18,68,47,89,81,85,17,85,98,23,44,31,18,8
57,Week58,Company1,Region1,34,25,39,71,58,18,73,16,25,60,0,90,75,54,33,6,42,93,31
58,Week59,Company1,Region1,61,32,49,55,43,22,5,89,58,29,35,37,70,1,40,0,13,34,25
59,Week60,Company1,Region1,95,65,62,6,84,74,64,0,69,67,62,28,18,81,84,77,84,39,26
60,Week61,Company1,Region1,19,44,67,78,93,10,43,23,2,8,49,2,28,31,72,2,33,83,83
61,Week62,Company1,Region1,7,90,69,79,51,98,3,99,40,37,73,97,82,16,3,92,38,67,63
62,Week63,Company1,Region1,90,47,80,25,13,91,27,3,81,25,15,29,95,58,34,21,72,52,15
63,Week64,Company1,Region1,28,92,97,64,12,49,38,25,7,14,42,35,38,80,2,0,73,71,76
64,Week65,Company1,Region1,84,5,96,64,67,64,83,51,75,32,58,84,72,81,87,60,36,79,23
65,Week66,Company1,Region1,32,83,11,95,22,71,20,3,93,54,19,49,70,4,28,54,19,5,62
66,Week67,Company1,Region1,91,52,34,33,62,63,52,5,35,64,82,86,67,100,22,88,95,90,35
67,Week68,Company1,Region1,43,59,54,50,75,93,35,40,65,10,66,8,34,26,47,88,64,4,75
68,Week69,Company1,Region1,64,84,80,92,63,47,87,97,71,32,1,19,51,90,48,92,93,7,51
69,Week70,Company1,Region1,65,83,64,53,58,98,85,68,35,69,18,49,75,86,10,34,71,14,30
70,Week71,Company1,Region1,10,26,60,97,81,56,25,39,9,41,88,60,44,50,10,55,60,87,26
71,Week72,Company1,Region1,49,14,64,59,83,44,11,35,9,56,84,45,19,39,43,22,78,60,21
72,Week73,Company1,Region1,35,48,34,17,64,28,20,12,76,68,31,67,94,26,93,72,57,28,79
73,Week74,Company1,Region1,97,40,57,63,40,43,2,95,100,69,91,22,92,14,8,54,44,88,53
74,Week75,Company1,Region1,95,8,44,98,25,19,66,41,34,57,72,70,75,11,27,66,28,41,57
75,Week76,Company1,Region1,65,40,62,17,71,71,9,6,63,24,96,14,28,63,11,60,95,1,9
76,Week77,Company1,Region1,91,72,92,7,7,10,71,5,95,49,45,51,33,24,61,85,39,21,34
77,Week78,Company1,Region1,52,57,88,16,52,59,5,21,28,96,86,67,19,25,74,50,37,70,55
78,Week79,Company1,Region1,65,78,0,79,40,56,96,53,9,24,76,51,96,6,43,37,88,44,11
79,Week80,Company1,Region1,90,89,53,13,47,21,9,48,17,62,34,95,7,0,21,70,53,4,39
80,Week81,Company1,Region1,89,65,93,30,96,10,51,93,99,75,21,84,93,77,82,67,42,72,82
81,Week82,Company1,Region1,94,91,18,91,2,52,45,48,31,66,96,64,34,29,84,83,29,2,78
82,Week83,Company1,Region1,30,58,79,51,85,35,57,57,91,6,33,81,87,27,98,87,87,36,22
83,Week84,Company1,Region1,0,76,26,84,36,59,33,61,0,77,61,1,32,37,84,35,74,41,5
84,Week85,Company1,Region1,20,40,98,50,67,31,64,15,2,35,100,66,0,57,96,70,76,35,93
85,Week86,Company1,Region1,86,85,36,61,22,85,80,24,15,75,56,48,50,53,13,55,69,8,100
86,Week87,Company1,Region1,98,11,57,94,88,95,78,71,45,81,43,75,20,25,32,11,48,92,89
87,Week88,Company1,Region1,24,36,91,12,82,93,38,24,83,78,75,12,43,95,83,71,35,47,70
88,Week89,Company1,Region1,38,81,44,5,69,23,64,22,100,23,57,24,86,11,50,0,8,2,91
89,Week90,Company1,Region1,87,70,0,20,58,56,70,47,7,85,45,0,43,56,91,57,79,48,9
90,Week91,Company1,Region1,80,69,12,32,67,14,99,87,51,36,31,26,3,66,8,25,69,5,40
91,Week92,Company1,Region1,65,50,72,34,23,2,93,56,28,81,32,34,77,48,5,73,100,39,70
92,Week93,Company1,Region1,45,34,65,92,62,74,18,94,3,90,2,74,27,51,6,75,39,90,13
93,Week94,Company1,Region1,3,24,8,1,90,16,70,5,93,23,11,24,18,41,22,40,80,5,28
94,Week95,Company1,Region1,46,72,51,58,9,34,25,43,65,38,3,60,70,74,70,1,65,29,18
95,Week96,Company1,Region1,86,34,11,43,94,57,93,55,84,85,43,71,80,44,42,100,72,10,10
96,Week97,Company1,Region1,66,71,13,34,64,98,30,12,53,94,77,18,83,54,84,70,54,33,48
97,Week98,Company1,Region1,10,71,77,5,16,38,48,7,71,78,25,45,2,55,2,52,27,50,49
98,Week99,Company1,Region1,88,83,78,89,21,18,76,78,34,7,77,86,22,31,13,61,97,0,97
99,Week100,Company1,Region1,52,0,95,62,86,82,54,91,89,67,29,71,64,16,21,71,26,8,31
100,Week101,Company1,Region1,89,87,65,79,79,32,68,92,23,10,50,2,38,0,16,51,25,0,59
101,Week102,Company1,Region1,13,83,31,87,72,75,32,27,15,11,16,23,50,54,73,89,39,27,83
102,Week103,Company1,Region1,21,34,20,34,1,82,10,39,68,95,29,84,21,30,38,39,20,78,1
103,Week104,Company1,Region1,62,32,89,14,50,95,16,100,18,93,94,82,3,61,70,21,89,11,3
104,Week105,Company1,Region1,27,80,57,92,76,71,76,94,56,40,58,72,74,100,0,40,100,88,51
105,Week106,Company1,Region1,21,10,71,0,76,18,0,46,12,72,76,44,36,43,15,50,28,54,3
106,Week107,Company1,Region1,30,84,13,90,75,41,44,78,50,70,4,59,30,61,36,61,18,100,18
107,Week108,Company1,Region1,70,21,91,84,34,65,7,52,84,73,80,61,15,23,92,96,59,10,84
108,Week109,Company1,Region1,69,77,39,26,93,16,19,28,34,22,81,51,6,52,65,79,71,63,53
109,Week110,Company1,Region1,24,32,49,34,50,21,46,59,51,74,38,77,13,45,99,47,54,6,10
110,Week111,Company1,Region1,65,31,91,46,81,45,87,93,74,62,26,62,25,80,90,84,37,81,65
111,Week112,Company1,Region1,4,93,12,33,56,20,73,59,55,25,72,97,42,69,76,74,30,97,3
112,Week113,Company1,Region1,24,52,48,75,11,0,84,59,63,74,58,55,18,33,58,58,47,91,35
113,Week114,Company1,Region1,56,45,49,95,99,47,54,60,12,52,76,71,81,1,11,100,70,80,18
114,Week115,Company1,Region1,43,74,65,43,27,82,32,4,62,98,82,53,51,93,47,63,25,54,33
115,Week116,Company1,Region1,95,92,48,23,68,68,19,85,11,39,62,5,7,43,56,41,27,98,49
116,Week117,Company1,Region1,44,76,39,53,13,83,88,47,21,22,97,72,35,100,20,41,99,43,8
117,Week118,Company1,Region1,57,96,1,66,41,98,84,96,100,97,94,5,4,13,14,82,16,50,66
118,Week119,Company1,Region1,77,71,46,78,31,89,81,46,60,26,22,28,68,85,95,24,17,9,65
119,Week120,Company1,Region1,12,88,80,27,80,22,89,60,14,7,14,39,13,42,7,8,8,56,7
120,Week121,Company1,Region1,72,100,61,81,22,85,98,42,6,52,2,39,78,66,1,90,74,9,26
121,Week122,Company1,Region1,84,22,20,70,52,43,60,7,55,67,80,14,38,66,94,38,75,71,57
122,Week123,Company1,Region1,12,86,51,66,88,11,1,24,88,68,92,3,16,64,66,68,54,95,14
123,Week124,Company1,Region1,55,14,10,23,60,59,24,11,8,38,19,82,91,92,40,70,14,99,47
124,Week125,Company1,Region1,90,66,61,71,65,14,78,75,26,78,24,50,77,63,92,3,97,45,65
125,Week126,Company1,Region1,1,66,62,76,30,28,43,60,100,65,16,2,62,75,30,99,12,11,54
126,Week127,Company1,Region1,87,47,8,7,70,1,92,57,23,35,17,49,78,55,6,69,35,50,27
127,Week128,Company1,Region1,25,54,19,75,92,27,78,100,13,56,11,58,14,88,45,67,41,40,25
128,Week129,Company1,Region1,77,27,95,48,50,5,59,38,97,96,69,7,69,60,18,50,12,90,22
129,Week130,Company1,Region1,40,66,82,67,15,6,22,47,48,12,95,68,86,73,76,93,48,38,66
130,Week131,Company1,Region1,52,67,33,28,79,32,59,26,10,44,3,29,54,30,24,4,31,9,66
131,Week132,Company1,Region1,74,2,93,49,89,22,64,10,100,65,38,0,33,73,46,97,31,42,71
132,Week133,Company1,Region1,44,95,21,57,74,96,75,30,17,79,45,37,67,18,6,90,65,37,36
133,Week134,Company1,Region1,66,35,47,81,100,93,58,48,31,31,72,28,28,19,3,40,10,5,21
134,Week135,Company1,Region1,38,84,8,62,11,81,62,64,53,66,44,79,61,95,82,87,61,12,25
135,Week136,Company1,Region1,57,98,66,24,28,53,98,32,70,79,21,33,91,78,21,75,57,64,82
136,Week137,Company1,Region1,47,3,76,8,51,27,51,20,12,20,14,15,66,90,1,3,86,14,77
137,Week138,Company1,Region1,73,52,64,62,26,30,85,41,32,0,21,73,70,93,50,94,86,14,96
138,Week139,Company1,Region1,5,21,95,87,95,86,8,54,85,66,13,62,60,32,91,5,35,44,41
139,Week140,Company1,Region1,48,55,89,91,16,98,34,17,81,61,38,41,81,81,54,43,60,15,76
140,Week141,Company1,Region1,68,78,7,26,33,72,16,83,26,100,64,88,41,15,88,100,95,61,88
141,Week142,Company1,Region1,33,8,94,92,41,12,56,38,16,91,48,93,96,49,47,63,4,62,92
142,Week143,Company1,Region1,12,39,19,29,35,51,45,60,78,33,88,11,30,35,76,48,92,95,32
143,Week144,Company1,Region1,36,90,18,88,63,78,67,97,83,8,52,93,38,27,92,2,72,43,99
144,Week145,Company1,Region1,53,71,100,56,47,13,78,58,55,31,63,77,31,53,13,59,30,28,70
145,Week146,Company1,Region1,22,48,31,35,43,39,25,50,60,39,95,67,30,33,74,86,4,66,44
146,Week147,Company1,Region1,32,50,35,79,55,33,23,27,25,31,23,21,37,37,58,20,97,29,64
147,Week148,Company1,Region1,4,52,2,9,42,84,93,100,4,23,2,73,84,10,69,65,30,49,60
148,Week149,Company1,Region1,63,81,88,92,78,7,90,44,39,0,83,41,18,63,74,68,76,62,27
149,Week150,Company1,Region1,56,46,56,54,53,16,93,41,27,18,45,71,23,15,83,47,22,88,3
150,Week151,Company1,Region1,50,3,56,35,9,97,59,4,30,27,20,82,78,19,58,88,84,68,0
151,Week152,Company1,Region1,75,85,83,13,12,95,43,26,60,35,40,37,86,23,31,38,34,5,97
152,Week153,Company1,Region1,63,71,48,12,5,64,60,73,10,72,82,27,39,30,80,50,8,22,7
153,Week154,Company1,Region1,85,28,56,19,27,68,37,6,42,29,32,45,19,60,33,9,4,64,5
154,Week155,Company1,Region1,60,99,86,98,28,59,63,36,10,85,70,88,21,62,35,71,15,0,27
155,Week156,Company1,Region1,70,33,68,22,21,18,69,62,28,57,2,72,99,46,48,65,65,36,46
156,Week1,Competitor1,Region1,54,96,100,36,87,64,42,93,60,89,77,47,67,25,39,82,34,37,54
157,Week2,Competitor1,Region1,66,3,28,5,29,1,82,56,93,63,18,31,69,53,72,13,17,52,6
158,Week3,Competitor1,Region1,7,3,82,47,34,55,70,68,6,46,55,82,24,76,87,98,5,62,14
159,Week4,Competitor1,Region1,24,36,30,39,77,9,69,69,72,57,68,33,93,69,26,97,68,59,43
160,Week5,Competitor1,Region1,20,85,80,78,36,70,94,28,51,47,82,75,89,82,60,5,8,27,33
161,Week6,Competitor1,Region1,22,79,76,83,51,82,64,87,7,71,75,43,94,44,82,99,88,18,94
162,Week7,Competitor1,Region1,23,33,58,98,73,27,47,98,42,90,23,46,26,79,83,48,58,17,53
163,Week8,Competitor1,Region1,98,57,74,36,55,37,50,30,8,4,86,76,2,96,85,74,51,51,46
164,Week9,Competitor1,Region1,6,7,85,13,26,8,74,4,66,88,100,63,32,71,37,54,59,43,74
165,Week10,Competitor1,Region1,90,15,2,65,93,88,94,23,35,55,31,23,95,27,41,23,20,42,44
166,Week11,Competitor1,Region1,66,86,66,43,19,51,19,31,78,4,61,77,57,43,81,30,66,81,5
167,Week12,Competitor1,Region1,85,32,33,52,93,53,98,61,17,68,91,43,61,38,16,77,84,36,40
168,Week13,Competitor1,Region1,71,60,32,81,65,60,26,72,15,59,64,81,97,86,84,89,85,10,54
169,Week14,Competitor1,Region1,70,36,39,81,99,53,76,52,19,48,59,63,64,13,56,9,28,31,51
170,Week15,Competitor1,Region1,6,35,49,19,65,4,44,27,61,34,69,77,52,53,49,90,88,87,99
171,Week16,Competitor1,Region1,14,51,8,71,66,0,52,49,49,50,54,31,85,32,44,39,3,48,72
172,Week17,Competitor1,Region1,2,49,11,55,65,18,72,45,7,71,91,34,8,8,74,38,95,20,6
173,Week18,Competitor1,Region1,26,8,43,31,46,31,71,10,63,19,48,88,73,28,11,22,60,95,11
174,Week19,Competitor1,Region1,57,14,91,35,12,13,84,87,67,83,93,12,88,45,22,11,77,95,44
175,Week20,Competitor1,Region1,100,3,42,29,50,45,86,31,57,44,82,62,9,35,46,10,12,54,66
176,Week21,Competitor1,Region1,43,2,87,96,23,41,67,64,78,42,6,46,0,89,48,49,15,99,16
177,Week22,Competitor1,Region1,93,76,98,59,91,62,73,43,8,36,48,58,45,14,14,53,30,58,34
178,Week23,Competitor1,Region1,73,19,38,14,10,38,66,1,9,34,13,80,3,9,98,92,79,16,55
179,Week24,Competitor1,Region1,64,1,97,54,7,78,47,9,83,7,54,39,91,93,27,32,58,36,8
180,Week25,Competitor1,Region1,31,64,2,98,16,42,83,57,88,88,70,84,23,16,57,38,46,47,11
181,Week26,Competitor1,Region1,12,62,21,59,13,23,100,17,91,31,38,50,80,36,86,54,53,35,71
182,Week27,Competitor1,Region1,91,51,0,28,44,90,97,19,81,62,22,71,90,75,57,31,75,52,84
183,Week28,Competitor1,Region1,40,72,90,18,76,25,87,18,34,17,8,26,11,4,63,0,76,36,82
184,Week29,Competitor1,Region1,89,8,4,60,99,24,11,3,12,26,61,34,72,55,63,5,78,56,54
185,Week30,Competitor1,Region1,97,50,65,45,49,96,74,15,95,79,31,80,70,44,26,13,92,1,41
186,Week31,Competitor1,Region1,79,38,92,33,42,19,10,30,79,86,25,3,63,78,20,61,26,71,11
187,Week32,Competitor1,Region1,95,15,47,48,70,54,91,80,36,42,100,10,54,38,82,69,73,6,72
188,Week33,Competitor1,Region1,84,17,18,40,32,53,13,81,72,67,9,100,74,62,88,94,41,25,83
189,Week34,Competitor1,Region1,65,42,26,4,40,30,19,86,27,66,72,84,71,69,60,40,43,35,29
190,Week35,Competitor1,Region1,59,19,4,37,87,29,20,88,29,26,92,40,40,73,95,47,89,63,14
191,Week36,Competitor1,Region1,22,65,80,98,77,24,61,49,88,22,3,25,91,41,74,78,40,98,83
192,Week37,Competitor1,Region1,15,6,65,29,62,83,18,95,48,15,42,45,12,0,62,100,51,27,58
193,Week38,Competitor1,Region1,63,41,77,75,10,3,3,71,87,34,80,19,88,5,82,46,64,99,73
194,Week39,Competitor1,Region1,79,15,89,7,78,31,71,90,11,12,3,80,53,48,38,98,89,62,65
195,Week40,Competitor1,Region1,67,9,26,56,21,55,33,37,88,69,98,100,73,63,41,46,45,39,19
196,Week41,Competitor1,Region1,75,98,17,58,100,82,24,87,27,52,3,46,63,39,48,18,64,69,95
197,Week42,Competitor1,Region1,99,89,80,90,59,63,100,44,35,11,9,3,22,19,75,60,55,4,92
198,Week43,Competitor1,Region1,90,42,86,80,6,20,9,71,70,36,52,58,14,28,43,8,6,75,81
199,Week44,Competitor1,Region1,2,43,88,1,39,15,72,68,30,73,4,60,98,26,89,39,59,36,29
200,Week45,Competitor1,Region1,65,37,2,38,73,5,95,35,36,84,83,32,73,91,66,50,43,46,90
201,Week46,Competitor1,Region1,87,100,24,83,58,34,16,79,74,0,17,65,55,78,70,67,61,2,3
202,Week47,Competitor1,Region1,68,0,51,66,17,70,73,24,15,40,22,47,18,77,66,19,23,93,65
203,Week48,Competitor1,Region1,16,15,58,16,40,8,85,58,69,4,59,23,21,25,83,71,90,80,2
204,Week49,Competitor1,Region1,85,32,57,23,20,1,17,62,59,26,67,100,0,55,73,95,98,72,99
205,Week50,Competitor1,Region1,12,45,40,20,45,7,35,79,92,76,71,52,27,27,75,10,17,9,0
206,Week51,Competitor1,Region1,64,66,59,18,75,53,26,19,1,91,33,72,60,23,76,1,50,65,12
207,Week52,Competitor1,Region1,43,63,0,31,33,29,85,36,47,73,52,15,94,13,73,57,11,93,21
208,Week53,Competitor1,Region1,5,43,63,46,73,64,18,5,90,89,92,30,87,83,59,50,58,52,22
209,Week54,Competitor1,Region1,48,72,29,97,39,67,63,9,14,91,16,62,48,5,94,63,36,23,72
210,Week55,Competitor1,Region1,54,1,7,48,70,43,92,13,46,88,7,72,5,75,39,32,56,8,12
211,Week56,Competitor1,Region1,23,16,76,62,59,13,44,94,13,14,86,22,99,12,26,12,92,96,12
212,Week57,Competitor1,Region1,80,87,6,8,96,66,81,38,77,15,83,88,60,93,65,19,34,26,86
213,Week58,Competitor1,Region1,31,53,98,89,80,34,13,16,46,22,20,43,99,61,51,55,61,29,4
214,Week59,Competitor1,Region1,95,91,70,53,70,31,33,50,89,90,69,49,42,47,58,53,58,61,18
215,Week60,Competitor1,Region1,24,39,89,88,24,11,98,23,91,35,52,90,84,51,27,14,63,52,29
216,Week61,Competitor1,Region1,9,6,45,48,86,27,34,20,71,31,9,41,11,77,17,18,93,46,80
217,Week62,Competitor1,Region1,52,4,28,84,17,68,47,31,15,60,70,2,66,50,82,56,31,21,40
218,Week63,Competitor1,Region1,80,8,30,21,37,93,37,50,59,78,100,3,72,27,36,98,69,34,58
219,Week64,Competitor1,Region1,74,1,99,23,56,54,90,93,19,2,44,87,87,23,64,82,33,43,3
220,Week65,Competitor1,Region1,67,52,72,34,49,71,64,32,93,55,61,21,15,37,53,5,76,43,82
221,Week66,Competitor1,Region1,84,24,74,95,89,70,87,44,66,32,81,11,0,9,25,81,26,32,4
222,Week67,Competitor1,Region1,13,40,10,79,56,18,70,51,74,53,95,79,40,34,33,67,47,23,83
223,Week68,Competitor1,Region1,28,90,75,95,33,83,22,1,5,24,23,27,70,43,37,26,6,99,24
224,Week69,Competitor1,Region1,3,52,78,1,73,30,62,17,22,99,5,34,80,50,1,48,11,3,56
225,Week70,Competitor1,Region1,49,39,34,31,2,14,93,22,78,85,7,61,100,70,29,1,57,96,47
226,Week71,Competitor1,Region1,58,44,80,39,73,45,46,66,11,50,46,85,47,72,2,65,83,85,74
227,Week72,Competitor1,Region1,69,21,25,87,17,55,48,95,70,86,11,46,65,65,74,65,59,75,39
228,Week73,Competitor1,Region1,78,91,84,54,78,28,24,100,96,36,49,91,77,23,15,83,53,81,32
229,Week74,Competitor1,Region1,42,43,95,74,0,60,57,33,87,19,17,82,89,9,99,86,65,64,100
230,Week75,Competitor1,Region1,24,57,16,80,55,82,75,1,46,8,66,81,46,47,34,67,69,9,72
231,Week76,Competitor1,Region1,37,40,59,72,20,71,20,10,26,73,57,98,23,64,87,79,32,28,83
232,Week77,Competitor1,Region1,62,99,95,54,30,52,75,53,20,71,59,86,25,91,52,59,95,93,72
233,Week78,Competitor1,Region1,58,44,50,84,92,38,38,59,71,39,0,83,6,97,34,32,1,81,15
234,Week79,Competitor1,Region1,75,33,34,90,31,23,22,91,23,10,43,66,67,55,6,67,67,26,89
235,Week80,Competitor1,Region1,90,89,75,11,38,51,48,100,18,33,37,22,58,2,62,67,61,9,8
236,Week81,Competitor1,Region1,93,92,55,45,54,11,51,27,38,22,23,24,61,26,22,65,11,0,3
237,Week82,Competitor1,Region1,39,91,72,43,86,48,26,45,33,95,83,71,70,25,24,17,11,45,38
238,Week83,Competitor1,Region1,19,60,84,70,85,18,97,48,28,28,67,67,100,49,61,57,40,38,1
239,Week84,Competitor1,Region1,14,67,25,7,8,30,40,63,71,64,66,33,42,47,69,60,7,3,98
240,Week85,Competitor1,Region1,84,75,36,13,99,36,98,1,60,55,82,52,50,84,41,2,81,90,40
241,Week86,Competitor1,Region1,2,21,70,90,5,7,50,84,100,66,23,71,48,36,67,21,15,55,40
242,Week87,Competitor1,Region1,99,4,68,9,74,61,83,48,96,59,7,39,67,35,89,89,46,23,21
243,Week88,Competitor1,Region1,52,91,85,23,24,96,5,2,49,58,66,65,35,23,92,98,49,27,47
244,Week89,Competitor1,Region1,1,87,40,68,37,32,92,85,100,100,72,92,6,22,22,63,30,62,81
245,Week90,Competitor1,Region1,39,29,28,20,2,41,49,5,10,38,76,67,74,87,19,76,56,74,24
246,Week91,Competitor1,Region1,93,96,70,62,100,46,89,52,40,54,38,34,9,52,0,52,4,54,17
247,Week92,Competitor1,Region1,35,88,85,81,0,63,23,94,72,69,74,55,84,42,4,58,65,72,18
248,Week93,Competitor1,Region1,100,13,0,22,78,76,6,16,83,97,64,90,85,71,34,42,25,32,80
249,Week94,Competitor1,Region1,38,18,47,12,19,92,44,22,53,55,76,81,28,68,27,8,15,66,55
250,Week95,Competitor1,Region1,86,21,11,35,20,60,78,7,49,44,5,57,17,26,83,56,12,63,2
251,Week96,Competitor1,Region1,31,38,50,80,65,30,87,76,29,77,51,22,97,13,8,88,48,35,33
252,Week97,Competitor1,Region1,31,27,52,28,27,1,5,66,73,34,80,60,58,76,84,23,89,2,14
253,Week98,Competitor1,Region1,60,32,8,90,15,58,70,56,23,60,15,11,10,44,25,21,37,38,79
254,Week99,Competitor1,Region1,68,17,13,66,53,77,77,41,57,54,87,100,82,98,87,73,34,32,100
